CustomerID,SignupDate,LastPurchaseDate,TenureMonths,MonthlyCharges,ContractType,SupportCalls,Churn
CUST_0031,2020-03-09,2021-03-04,23,66.15,Two year,2,0
CUST_0032,2020-01-25,2023-09-06,26,50.66,Two year,0,0
CUST_0033,2022-12-21,2026-05-04,21,62.79,Month-to-month,3,0
CUST_0034,2023-05-15,2026-06-28,22,25.12,Two year,1,0
CUST_0035,2021-08-26,2023-08-16,58,76.32,Month-to-month,0,1
CUST_0036,2020-05-12,2024-01-22,7,87.65,Month-to-month,1,1
CUST_0037,2020-02-07,2022-08-25,14,29.51,Month-to-month,1,0
CUST_0038,2021-02-24,2023-01-15,15,18.61,One year,4,1
CUST_0039,2020-07-30,2024-06-09,53,12.13,Two year,1,0
CUST_0040,2020-02-17,2023-11-28,7,67.78,One year,0,0
CUST_0041,2020-09-06,2024-03-19,9,64.64,Month-to-month,2,1
CUST_0042,2020-01-13,2020-09-09,51,59.2,One year,1,0
CUST_0043,2022-05-26,2025-08-08,48,30.88,Month-to-month,1,0
CUST_0044,2020-04-19,2024-04-28,8,45.18,Two year,1,0
CUST_0045,2021-01-31,2022-11-22,50,63.5,Month-to-month,1,0
CUST_0046,2020-05-16,2024-05-25,59,54.71,Month-to-month,1,0
CUST_0047,2020-09-24,2021-09-19,23,98.9,Month-to-month,3,1
CUST_0048,2020-10-15,2025-08-20,29,22.28,One year,1,0
CUST_0049,2020-03-15,2024-12-19,18,72.56,Month-to-month,0,0
CUST_0050,2023-06-28,2026-01-13,31,46.39,One year,0,0
CUST_0051,2021-06-28,2025-07-07,30,48.54,Month-to-month,1,1
CUST_0052,2022-10-20,2023-12-14,52,74.58,One year,3,1
CUST_0053,2022-04-02,2025-02-15,39,72.32,Two year,0,0
CUST_0054,2020-11-28,2024-11-07,35,99.21,Two year,0,0
CUST_0055,2022-07-19,2022-11-16,18,21.56,Month-to-month,2,1
CUST_0056,2020-02-03,2021-10-25,59,19.37,Month-to-month,0,0
CUST_0057,2020-03-20,2021-06-13,42,75.19,Month-to-month,0,0
CUST_0058,2020-01-17,2023-05-01,39,62.05,One year,1,0
CUST_0059,2020-05-23,2021-02-17,17,34.67,Month-to-month,0,1
CUST_0060,2020-06-28,2022-05-19,14,17.15,Month-to-month,1,1
CUST_0061,2020-04-25,2021-09-17,31,17.71,Month-to-month,1,1
CUST_0062,2021-10-06,2025-09-15,24,90.48,Month-to-month,0,0
CUST_0063,2020-06-10,2021-11-02,35,27.27,One year,2,0
CUST_0064,2020-04-30,2020-10-27,44,39.1,Month-to-month,1,0
CUST_0065,2020-10-12,2021-01-10,45,30.4,One year,1,0
CUST_0066,2020-02-25,2022-03-16,34,41.95,Month-to-month,3,0
CUST_0067,2021-08-14,2021-12-12,3,16.25,Month-to-month,0,0
CUST_0068,2020-01-29,2024-12-03,37,56.72,Month-to-month,0,0
CUST_0069,2024-04-30,2028-10-06,43,16.09,Month-to-month,3,1
CUST_0070,2021-06-24,2022-09-17,40,82.03,Month-to-month,1,1
CUST_0071,2020-03-21,2023-01-05,26,31.03,One year,3,0
CUST_0072,2020-01-03,2022-01-22,55,58.6,Month-to-month,2,0
CUST_0073,2021-09-08,2023-01-31,23,89.21,Two year,4,1
CUST_0074,2021-03-23,2023-07-11,44,68.58,Month-to-month,2,0
CUST_0075,2021-04-21,2023-02-10,39,57.97,Month-to-month,4,0
CUST_0076,2021-06-22,2025-09-29,15,39.19,One year,1,1
CUST_0077,2020-01-29,2021-02-22,56,39.97,Month-to-month,1,1
CUST_0078,2020-06-11,2021-08-05,49,70.25,Month-to-month,3,1
CUST_0079,2020-02-14,2024-01-24,4,99.47,Month-to-month,2,0
CUST_0080,2021-12-26,2024-08-12,29,69.57,Month-to-month,0,1
CUST_0081,2020-12-22,2022-12-12,22,60.2,Two year,0,0
CUST_0082,2020-05-26,2022-01-16,25,75.76,Month-to-month,1,0
CUST_0083,2020-01-24,2021-05-18,13,51.87,One year,2,0
CUST_0084,2020-05-15,2022-03-06,18,15.41,Two year,1,1
CUST_0085,2020-05-23,2024-12-28,33,60.61,Month-to-month,3,0
CUST_0086,2021-04-22,2024-10-03,16,96.19,Two year,3,0
CUST_0087,2021-01-05,2022-04-30,45,25.78,Month-to-month,0,0
CUST_0088,2022-03-07,2026-11-11,42,72.1,Two year,0,0
CUST_0089,2020-08-21,2021-09-15,44,28.08,Month-to-month,2,1
CUST_0090,2020-02-16,2022-06-05,2,58.22,One year,4,0
CUST_0091,2021-03-31,2022-10-22,55,18.7,Month-to-month,1,0
CUST_0092,2021-06-06,2023-10-24,35,50.53,Month-to-month,0,0
CUST_0093,2020-10-27,2022-04-20,42,78.05,One year,1,0
CUST_0094,2021-06-21,2025-09-28,34,41.28,One year,1,0
CUST_0095,2020-09-05,2023-10-20,30,69.84,Month-to-month,2,1
CUST_0096,2020-09-26,2025-04-03,59,81.59,Month-to-month,1,0
CUST_0097,2020-07-22,2021-07-17,55,93.45,One year,2,0
CUST_0098,2020-01-10,2021-06-03,13,31.12,One year,0,0
CUST_0099,2020-02-11,2021-12-02,13,45.94,Two year,2,0
CUST_0100,2020-01-12,2023-09-23,18,23.72,One year,4,0
CUST_0101,2021-01-04,2023-08-22,32,99.32,Two year,3,0
CUST_0102,2020-05-17,2023-07-01,32,93.43,One year,0,1
CUST_0103,2020-09-16,2023-11-30,35,58.6,Month-to-month,2,0
CUST_0104,2022-05-19,2023-10-11,59,85.78,Month-to-month,2,0
CUST_0105,2020-04-14,2020-12-10,39,56.89,One year,1,0
CUST_0106,2020-07-11,2023-02-26,46,66.12,One year,0,0
CUST_0107,2021-05-29,2023-12-15,52,18.02,Month-to-month,2,0
CUST_0108,2020-04-04,2024-08-11,29,77.97,Month-to-month,2,1
CUST_0109,2020-01-30,2021-05-24,49,21.49,Two year,0,0
CUST_0110,2020-05-04,2021-10-26,29,84.35,Month-to-month,1,0
CUST_0111,2020-03-05,2022-04-24,53,80.38,Month-to-month,3,0
CUST_0112,2022-08-27,2023-01-24,44,73.79,Month-to-month,2,0
CUST_0113,2021-08-25,2024-06-10,57,13.25,Month-to-month,0,0
CUST_0114,2021-01-01,2025-07-09,16,37.28,Month-to-month,0,1
CUST_0115,2022-01-18,2025-01-02,56,33.68,Month-to-month,2,0
CUST_0116,2021-08-17,2024-05-03,44,42.41,Month-to-month,1,1
CUST_0117,2020-03-16,2021-10-07,47,17.89,One year,1,1
CUST_0118,2022-03-25,2024-03-14,57,94.33,Month-to-month,3,1
CUST_0119,2020-10-09,2021-01-07,10,59.84,Two year,2,0
CUST_0120,2021-08-24,2022-05-21,30,37.5,Two year,0,1
CUST_0121,2022-04-06,2023-01-01,25,45.73,Month-to-month,0,1
CUST_0122,2020-05-19,2022-04-09,39,50.25,One year,2,1
CUST_0123,2020-02-12,2021-10-04,20,64.05,Month-to-month,0,1
CUST_0124,2020-04-04,2021-01-29,5,56.41,Two year,3,0
CUST_0125,2020-07-22,2022-09-10,1,92.75,Month-to-month,1,0
CUST_0126,2021-09-13,2022-12-07,30,54.73,One year,1,0
CUST_0127,2021-12-20,2024-01-09,49,99.29,One year,3,0
CUST_0128,2020-01-03,2022-05-22,3,86.63,Month-to-month,1,0
CUST_0129,2020-09-17,2024-08-27,45,28.77,Month-to-month,0,0
CUST_0130,2020-07-16,2021-10-09,14,93.75,One year,4,0
CUST_0131,2020-04-01,2020-09-28,56,20.47,One year,1,0
CUST_0132,2020-02-16,2021-05-11,30,83.57,Month-to-month,3,1
CUST_0133,2020-05-30,2023-03-16,50,44.26,One year,1,1
CUST_0134,2022-11-11,2027-07-18,4,89.02,Month-to-month,3,1
CUST_0135,2020-05-22,2021-08-15,18,88.13,One year,1,0
CUST_0136,2020-09-23,2023-12-07,37,82.53,Month-to-month,0,1
CUST_0137,2021-03-19,2022-02-12,25,81.1,Two year,1,1
CUST_0138,2020-06-13,2023-03-30,48,37.42,Month-to-month,2,1
CUST_0139,2023-07-26,2027-07-05,1,17.28,Month-to-month,1,0
CUST_0140,2023-04-12,2024-12-02,53,46.27,Month-to-month,0,0
CUST_0141,2020-04-15,2024-04-24,46,25.62,Month-to-month,1,1
CUST_0142,2020-09-07,2024-02-19,15,72.55,Month-to-month,1,0
CUST_0143,2020-05-10,2023-03-26,9,41.15,Month-to-month,2,0
CUST_0144,2020-05-02,2024-03-12,15,97.8,Two year,3,0
CUST_0145,2020-01-14,2021-05-08,49,67.69,Month-to-month,5,1
CUST_0146,2020-12-09,2023-06-27,57,84.02,Month-to-month,3,0
CUST_0147,2020-09-11,2023-12-25,24,21.93,Month-to-month,2,1
CUST_0148,2020-01-20,2020-06-18,4,87.58,Month-to-month,3,0
CUST_0149,2020-04-29,2022-03-20,12,93.05,Month-to-month,2,1
CUST_0150,2022-05-21,2024-07-09,59,53.84,Month-to-month,2,0
CUST_0151,2020-04-09,2021-10-31,58,64.56,Month-to-month,1,0
CUST_0152,2020-02-27,2022-02-16,37,78.83,Month-to-month,1,0
CUST_0153,2020-09-02,2020-10-02,37,25.74,Month-to-month,1,1
CUST_0154,2024-03-29,2024-11-24,43,55.23,Month-to-month,4,0
CUST_0155,2020-04-11,2022-06-30,6,45.88,Month-to-month,3,1
CUST_0156,2021-02-11,2025-05-21,39,23.17,Month-to-month,1,0
CUST_0157,2021-06-07,2024-06-21,56,43.08,Two year,1,0
CUST_0158,2020-04-09,2020-06-08,46,16.14,Month-to-month,3,0
CUST_0159,2021-04-20,2022-11-11,24,12.32,One year,1,0
CUST_0160,2020-06-16,2020-11-13,11,22.16,Month-to-month,1,0
CUST_0161,2020-12-31,2024-02-14,13,96.68,One year,1,0
CUST_0162,2021-01-01,2023-08-19,34,59.46,One year,1,0
CUST_0163,2020-10-07,2025-03-15,25,96.92,Month-to-month,0,1
CUST_0164,2020-02-04,2020-02-04,7,48.92,Two year,3,0
CUST_0165,2021-10-20,2024-10-04,52,38.06,Month-to-month,1,0
CUST_0166,2020-05-21,2020-10-18,4,55.55,Month-to-month,0,0
CUST_0167,2020-03-16,2023-10-27,59,49.56,One year,2,0
CUST_0168,2020-01-16,2022-10-02,8,19.51,Two year,1,0
CUST_0169,2020-11-22,2024-09-02,20,67.67,Month-to-month,2,0
CUST_0170,2021-02-17,2022-04-13,29,29.44,Month-to-month,1,0
CUST_0171,2020-01-07,2023-08-19,54,65.76,Month-to-month,2,0
CUST_0172,2020-09-18,2022-10-08,53,68.52,Month-to-month,0,0
CUST_0173,2020-04-03,2024-11-08,51,23.68,One year,2,0
CUST_0174,2021-01-13,2022-02-07,45,15.52,Month-to-month,1,1
CUST_0175,2020-03-10,2024-11-14,46,80.27,Month-to-month,2,1
CUST_0176,2021-03-04,2025-07-11,10,51.38,Month-to-month,3,0
CUST_0177,2020-06-27,2020-12-24,43,15.23,Month-to-month,1,0
CUST_0178,2022-10-04,2026-06-15,34,99.54,Month-to-month,2,0
CUST_0179,2020-02-23,2024-10-29,57,15.2,One year,1,0
CUST_0180,2020-06-01,2022-11-18,26,72.55,Two year,3,1
CUST_0181,2020-02-13,2022-01-03,41,98.53,Two year,1,0
CUST_0182,2022-08-01,2027-05-07,49,31.53,Month-to-month,1,1
CUST_0183,2022-02-04,2024-07-23,58,22.8,Two year,1,1
CUST_0184,2020-04-18,2022-08-06,3,20.92,One year,1,0
CUST_0185,2021-01-28,2024-06-11,56,37.29,One year,0,1
CUST_0186,2021-09-12,2024-03-30,6,19.09,Month-to-month,1,0
CUST_0187,2020-10-22,2022-02-14,5,72.29,Month-to-month,1,0
CUST_0188,2020-10-02,2021-10-27,5,15.61,Month-to-month,1,0
CUST_0189,2020-04-11,2023-06-25,54,55.85,Month-to-month,1,1
CUST_0190,2020-02-05,2022-12-21,47,99.7,Month-to-month,3,1
CUST_0191,2022-04-10,2026-12-15,23,83.26,Month-to-month,0,1
CUST_0192,2022-04-21,2026-03-01,49,65.37,Month-to-month,1,0
CUST_0193,2020-12-31,2022-11-21,9,37.56,One year,2,0
CUST_0194,2020-05-31,2024-01-11,35,66.15,Month-to-month,0,0
CUST_0195,2020-06-05,2024-10-12,20,57.43,Month-to-month,2,1
CUST_0196,2021-04-17,2023-06-06,58,48.35,Two year,1,0
CUST_0197,2022-04-10,2024-03-30,49,21.76,Two year,3,0
CUST_0198,2022-03-07,2026-12-11,59,89.79,One year,1,1
CUST_0199,2021-07-06,2024-01-22,42,50.48,Two year,4,0
CUST_0200,2021-01-09,2025-03-19,35,27.52,Month-to-month,0,0
CUST_0201,2020-02-02,2021-06-26,50,43.1,Two year,2,1
CUST_0202,2020-03-05,2023-11-15,18,47.27,Month-to-month,1,1
CUST_0203,2022-04-15,2023-09-07,17,84.48,Month-to-month,1,0
CUST_0204,2020-12-06,2023-11-21,24,76.03,Month-to-month,6,1
CUST_0205,2020-01-04,2022-01-23,3,79.24,Month-to-month,2,1
CUST_0206,2020-02-09,2020-10-06,32,10.99,Month-to-month,1,0
CUST_0207,2021-02-01,2025-12-07,35,47.45,One year,2,0
CUST_0208,2020-01-02,2022-10-18,38,53.32,One year,5,0
CUST_0209,2020-03-04,2020-09-30,13,11.73,Month-to-month,1,0
CUST_0210,2020-10-17,2022-05-10,56,33.38,Month-to-month,3,0
CUST_0211,2021-03-05,2025-07-12,47,78.43,Two year,1,1
CUST_0212,2021-01-20,2024-06-03,25,22.34,One year,1,0
CUST_0213,2020-04-02,2021-12-23,9,58.18,Month-to-month,0,0
CUST_0214,2021-03-30,2022-09-21,4,29.37,One year,3,1
CUST_0215,2020-04-08,2022-08-26,14,11.09,Month-to-month,3,0
CUST_0216,2020-05-23,2024-08-30,37,31.71,Month-to-month,2,1
CUST_0217,2021-05-15,2023-08-03,34,97.83,Two year,1,1
CUST_0218,2021-01-17,2023-11-03,11,82.14,Month-to-month,1,1
CUST_0219,2021-11-21,2025-05-04,41,96.36,Month-to-month,2,0
CUST_0220,2021-01-26,2021-11-22,56,53.91,Two year,0,0
CUST_0221,2020-11-02,2023-04-21,3,19.88,One year,0,0
CUST_0222,2020-02-05,2024-01-15,59,59.32,Month-to-month,2,0
CUST_0223,2020-06-16,2024-04-26,28,50.89,Month-to-month,2,1
CUST_0224,2020-04-22,2023-06-06,29,85.99,Month-to-month,2,1
CUST_0225,2020-04-12,2023-02-26,9,18.83,One year,0,1
CUST_0226,2023-08-11,2025-12-28,3,53.94,Month-to-month,0,1
CUST_0227,2020-07-01,2022-04-22,25,23.5,Month-to-month,1,1
CUST_0228,2022-03-23,2023-09-14,34,39.22,Two year,2,0
CUST_0229,2020-12-30,2021-11-25,12,76.36,Month-to-month,0,0
CUST_0230,2021-08-01,2022-09-25,42,52.84,Month-to-month,1,0
CUST_0231,2020-09-11,2023-02-28,9,43.83,Month-to-month,1,1
CUST_0232,2020-11-09,2024-04-22,15,45.5,One year,3,0
CUST_0233,2020-09-04,2023-08-20,40,51.35,Month-to-month,0,1
CUST_0234,2020-03-20,2023-03-05,25,80.65,Month-to-month,0,1
CUST_0235,2021-04-12,2022-06-06,5,90.29,Two year,1,0
CUST_0236,2020-04-30,2022-08-18,11,95.98,Month-to-month,2,0
CUST_0237,2020-01-09,2024-01-18,59,80.82,Month-to-month,1,1
CUST_0238,2021-01-13,2024-06-26,34,38.39,Month-to-month,4,0
CUST_0239,2020-03-12,2022-04-01,24,71.93,Month-to-month,2,1
CUST_0240,2022-10-26,2026-05-08,15,49.38,Month-to-month,0,0
CUST_0241,2023-01-28,2023-02-27,38,32.92,Month-to-month,1,0
CUST_0242,2022-06-18,2024-01-09,8,85.68,Month-to-month,3,0
CUST_0243,2020-06-17,2021-08-11,59,13.46,Month-to-month,2,1
CUST_0244,2020-01-06,2024-03-15,5,91.16,Two year,1,0
CUST_0245,2022-08-19,2022-11-17,48,51.53,Two year,0,0
CUST_0246,2020-07-23,2022-04-14,26,67.35,One year,0,0
CUST_0247,2023-05-26,2027-06-04,18,69.34,Two year,3,0
CUST_0248,2023-04-24,2026-05-08,6,90.56,Month-to-month,3,0
CUST_0249,2021-11-30,2023-09-21,37,67.3,Two year,0,0
CUST_0250,2020-05-07,2025-02-10,48,65.25,Month-to-month,2,0
CUST_0251,2020-06-26,2022-07-16,13,16.0,Two year,0,0
CUST_0252,2021-11-26,2026-01-04,28,56.66,Two year,4,0
CUST_0253,2020-05-19,2021-03-15,5,23.52,One year,0,0
CUST_0254,2020-03-08,2022-05-27,13,76.37,Two year,1,0
CUST_0255,2020-10-24,2025-05-01,17,56.1,Month-to-month,2,1
CUST_0256,2022-10-01,2022-10-31,50,71.22,Month-to-month,0,0
CUST_0257,2021-03-10,2025-12-14,40,13.75,Month-to-month,1,1
CUST_0258,2020-11-04,2021-06-02,45,17.63,Month-to-month,0,0
CUST_0259,2020-02-07,2022-05-27,32,74.47,Month-to-month,3,1
CUST_0260,2020-12-14,2021-10-10,29,16.49,One year,3,0
CUST_0261,2024-08-09,2027-07-25,51,16.41,Two year,1,0
CUST_0262,2020-02-25,2021-07-19,58,11.09,Month-to-month,2,1
CUST_0263,2020-09-23,2025-03-01,3,96.09,One year,0,0
CUST_0264,2022-02-04,2026-02-13,56,76.38,Two year,1,1
CUST_0265,2021-05-07,2022-06-01,40,41.79,Two year,3,1
CUST_0266,2021-03-11,2025-07-18,34,36.69,Two year,3,1
CUST_0267,2021-03-18,2021-12-13,40,41.47,Month-to-month,0,0
CUST_0268,2020-06-11,2023-03-28,27,79.72,Two year,0,0
CUST_0269,2020-05-06,2021-01-01,13,69.52,One year,1,0
CUST_0270,2021-08-27,2024-06-12,45,26.67,Month-to-month,2,0
CUST_0271,2021-08-29,2022-06-25,33,25.67,Month-to-month,0,0
CUST_0272,2022-01-06,2025-07-19,6,18.86,One year,1,0
CUST_0273,2022-06-11,2023-05-07,24,69.43,Month-to-month,2,1
CUST_0274,2020-09-18,2020-11-17,19,78.79,One year,0,0
CUST_0275,2020-09-11,2024-12-19,16,33.85,One year,0,1
CUST_0276,2021-08-07,2024-09-20,40,11.89,Month-to-month,0,1
CUST_0277,2021-01-18,2022-02-12,28,17.4,Month-to-month,2,0
CUST_0278,2021-03-17,2025-09-22,33,97.11,One year,2,0
CUST_0279,2021-08-02,2023-10-21,59,36.59,Month-to-month,2,1
CUST_0280,2022-03-16,2023-01-10,59,79.23,Month-to-month,1,1
CUST_0281,2020-05-30,2023-07-14,48,66.22,Month-to-month,4,0
CUST_0282,2020-06-20,2022-06-10,41,44.37,Month-to-month,2,0
CUST_0283,2020-02-06,2021-09-28,13,28.51,Two year,2,0
CUST_0284,2020-11-11,2021-08-08,43,20.92,Month-to-month,1,0
CUST_0285,2020-01-14,2023-06-27,45,65.35,One year,1,0
CUST_0286,2020-08-16,2021-10-10,25,79.72,Month-to-month,2,0
CUST_0287,2020-10-12,2022-04-05,53,67.95,Month-to-month,2,0
CUST_0288,2020-05-03,2024-03-13,42,57.73,Two year,1,1
CUST_0289,2020-11-22,2022-08-14,36,13.78,One year,2,0
CUST_0290,2020-01-12,2021-09-03,27,97.16,Month-to-month,2,1
CUST_0291,2020-01-14,2024-11-18,38,81.88,Month-to-month,0,1
CUST_0292,2021-09-23,2025-12-01,7,36.35,Month-to-month,1,0
CUST_0293,2020-06-12,2023-12-24,5,98.2,Month-to-month,0,0
CUST_0294,2020-02-19,2022-09-06,43,64.17,One year,3,0
CUST_0295,2020-09-26,2024-10-05,45,62.42,Month-to-month,1,1
CUST_0296,2021-06-20,2023-04-11,58,77.33,Month-to-month,2,0
CUST_0297,2020-03-29,2021-03-24,57,83.06,Month-to-month,2,0
CUST_0298,2020-12-21,2021-04-20,51,69.08,Two year,0,0
CUST_0299,2020-02-02,2020-05-02,31,21.53,Two year,4,1
CUST_0300,2020-01-20,2022-04-09,23,40.44,Month-to-month,2,0
CUST_0301,2020-10-03,2021-10-28,42,93.53,One year,1,0
CUST_0302,2020-10-10,2021-05-08,10,30.22,Month-to-month,0,1
CUST_0303,2021-01-05,2021-09-02,32,43.5,Month-to-month,1,0
CUST_0304,2021-04-17,2025-11-22,43,48.89,One year,1,0
CUST_0305,2023-09-21,2027-10-30,53,49.55,Two year,0,1
CUST_0306,2020-09-22,2023-07-09,30,65.16,Two year,3,1
CUST_0307,2020-05-22,2023-05-07,39,94.88,Month-to-month,2,1
CUST_0308,2021-08-01,2023-03-24,31,31.66,Month-to-month,0,0
CUST_0309,2020-04-25,2024-12-30,18,20.94,One year,2,1
CUST_0310,2020-07-29,2021-12-21,36,27.77,Month-to-month,1,0
CUST_0311,2020-01-30,2022-09-16,2,89.82,Month-to-month,0,0
CUST_0312,2020-01-10,2020-08-07,14,68.12,Month-to-month,2,0
CUST_0313,2023-04-14,2027-05-23,13,35.73,One year,4,1
CUST_0314,2021-10-21,2025-09-30,29,83.44,Month-to-month,3,1
CUST_0315,2021-03-10,2022-07-03,12,87.52,Month-to-month,2,0
CUST_0316,2020-07-10,2023-12-22,39,86.19,Two year,2,0
CUST_0317,2020-03-10,2022-08-27,2,92.7,Month-to-month,1,0
CUST_0318,2020-03-03,2022-11-18,32,32.7,Month-to-month,1,1
CUST_0319,2020-04-15,2020-09-12,13,77.95,Month-to-month,3,1
CUST_0320,2020-10-17,2022-07-09,46,51.45,Month-to-month,2,0
CUST_0321,2021-04-02,2022-04-27,27,85.78,Month-to-month,1,1
CUST_0322,2021-01-28,2021-03-29,49,75.56,Month-to-month,2,0
CUST_0323,2020-04-29,2021-03-25,41,79.88,Two year,2,0
CUST_0324,2023-02-04,2025-12-20,17,69.05,Month-to-month,0,1
CUST_0325,2021-05-03,2022-03-29,40,25.97,Two year,2,0
CUST_0326,2020-10-22,2024-06-03,31,59.05,Month-to-month,0,0
CUST_0327,2020-12-11,2021-01-10,34,98.62,Month-to-month,1,1
CUST_0328,2020-07-17,2020-08-16,24,94.36,Month-to-month,3,0
CUST_0329,2020-04-13,2021-06-07,45,13.89,Month-to-month,4,1
CUST_0330,2020-06-09,2022-03-31,35,24.83,One year,3,0
CUST_0331,2021-06-01,2023-09-19,48,21.86,Month-to-month,1,1
CUST_0332,2020-01-06,2021-04-30,6,75.34,Month-to-month,2,0
CUST_0333,2020-02-15,2022-09-02,19,83.6,Two year,0,0
CUST_0334,2020-01-18,2020-07-16,30,29.22,Two year,3,0
CUST_0335,2020-01-16,2022-06-04,7,55.53,Two year,1,1
CUST_0336,2021-12-06,2024-02-24,10,85.66,Month-to-month,1,0
CUST_0337,2021-03-19,2022-04-13,41,75.95,One year,0,0
CUST_0338,2020-08-22,2024-03-04,32,58.8,Month-to-month,0,0
CUST_0339,2020-02-07,2022-06-26,34,63.13,Month-to-month,1,0
CUST_0340,2020-09-03,2021-12-27,28,55.75,Month-to-month,1,1
CUST_0341,2020-08-22,2023-03-10,15,36.78,Month-to-month,1,1
CUST_0342,2020-03-10,2023-11-20,30,60.85,Month-to-month,1,0
CUST_0343,2020-07-26,2020-12-23,37,72.0,Month-to-month,1,1
CUST_0344,2020-07-04,2024-08-12,29,88.6,Two year,0,0
CUST_0345,2020-12-15,2022-11-05,22,67.27,Month-to-month,3,1
CUST_0346,2021-01-02,2021-06-01,4,78.5,Month-to-month,1,1
CUST_0347,2020-01-17,2022-03-07,20,24.41,Month-to-month,0,0
CUST_0348,2020-06-20,2021-11-12,32,51.54,Two year,0,0
CUST_0349,2020-12-24,2022-11-14,36,10.84,Month-to-month,0,0
CUST_0350,2020-09-12,2023-08-28,50,32.2,Month-to-month,2,1
CUST_0351,2021-12-09,2026-06-16,4,75.38,Two year,3,0
CUST_0352,2021-01-27,2022-12-18,27,99.26,Two year,0,1
CUST_0353,2020-03-05,2023-03-20,17,18.93,Month-to-month,0,0
CUST_0354,2020-01-27,2022-10-13,12,46.13,One year,0,0
CUST_0355,2021-01-10,2024-03-25,22,82.01,One year,1,0
CUST_0356,2020-01-10,2023-10-21,17,28.36,One year,4,0
CUST_0357,2020-11-17,2022-01-11,10,59.96,Month-to-month,1,0
CUST_0358,2022-10-25,2023-08-21,54,75.98,Two year,0,0
CUST_0359,2020-11-08,2022-07-31,1,65.44,Month-to-month,0,0
CUST_0360,2020-06-28,2024-11-04,22,26.92,Month-to-month,2,0
CUST_0361,2021-01-11,2022-12-02,26,41.98,Month-to-month,1,1
CUST_0362,2020-08-11,2020-08-11,56,80.54,Month-to-month,0,1
CUST_0363,2020-10-14,2022-03-08,59,59.88,Month-to-month,1,0
CUST_0364,2022-11-01,2026-05-14,18,10.47,One year,0,1
CUST_0365,2020-06-27,2021-05-23,50,78.49,Month-to-month,3,1
CUST_0366,2023-03-31,2027-11-05,14,13.18,Month-to-month,1,1
CUST_0367,2022-05-10,2025-10-21,47,77.12,Month-to-month,0,0
CUST_0368,2020-03-20,2022-06-08,29,28.22,Month-to-month,0,1
CUST_0369,2020-01-27,2023-04-11,12,96.23,Two year,3,1
CUST_0370,2020-02-08,2024-12-13,36,43.11,Month-to-month,1,1
CUST_0371,2020-01-07,2020-07-05,59,39.42,Month-to-month,1,0
CUST_0372,2020-02-06,2021-11-27,35,23.4,Month-to-month,2,0
CUST_0373,2021-02-23,2022-10-16,52,37.5,Month-to-month,2,0
CUST_0374,2020-01-27,2022-10-13,12,88.9,Month-to-month,1,0
CUST_0375,2020-05-20,2021-03-16,7,99.67,One year,1,0
CUST_0376,2021-11-11,2023-08-03,29,43.15,Two year,2,1
CUST_0377,2020-01-09,2023-05-23,11,50.37,Month-to-month,2,1
CUST_0378,2021-09-06,2024-06-22,33,74.99,One year,2,1
